sample,group,Genotype,GID,plate_code,well,Lote,is_hybrid,total_markers,valid_calls,het_calls,homo_calls,failed_calls,het_rate,call_rate,fail_rate,concordance,purity_status,purity_reason
F6619 - P2C5,F5,F5,53003,F6619,P2C5,L-99-2,True,9910,9740,3250,6490,170,0.3336755646817248,0.9828456104944501,0.017154389505549948,0.9978439425051334,PASS,OK
F6619 - P2H4,F5,F5,53003,F6619,P2H4,L-99-2,True,9910,9743,3222,6521,167,0.3306989633583085,0.9831483350151362,0.016851664984863773,0.9978446063840706,PASS,OK
F6620 - P2D5,F5,F5,53003,F6620,P2D5,L-99-2,True,9910,9743,3271,6472,167,0.3357282151288104,0.9831483350151362,0.016851664984863773,0.9981525197577749,PASS,OK
F6620 - P2E5,F5,F5,53003,F6620,P2E5,L-99-2,True,9910,9724,2296,7428,186,0.23611682435211848,0.9812310797174572,0.018768920282542886,0.968428630193336,PASS,OK
F6620 - P2F5,F5,F5,53003,F6620,P2F5,L-99-2,True,9910,9703,2033,7670,207,0.2095228279913429,0.9791120080726539,0.020887991927346115,0.9751623209316707,PASS,OK
F6621 - P2A6,F5,F5,53003,F6621,P2A6,L-99-2,True,9910,9667,837,8830,243,0.08658322126823213,0.9754793138244198,0.02452068617558022,0.9245888072825075,FAIL,low heterozygosity for hybrid (8.7%; expected >20%)
F6621 - P2G5,F5,F5,53003,F6621,P2G5,L-99-2,True,9910,9745,3250,6495,165,0.3335043612108774,0.9833501513622603,0.016649848637739658,0.9982555156490508,PASS,OK
F6621 - P2H5,F5,F5,53003,F6621,P2H5,L-99-2,True,9910,9746,3239,6507,164,0.33234147342499487,0.9834510595358223,0.016548940464177597,0.9967166016827417,PASS,OK
F6622 - P2B6,F5,F5,53003,F6622,P2B6,L-99-2,True,9910,9745,3255,6490,165,0.3340174448435095,0.9833501513622603,0.016649848637739658,0.9981528989225243,PASS,OK
F6622 - P2C6,F5,F5,53003,F6622,P2C6,L-99-2,True,9910,9750,3261,6489,160,0.3344615384615385,0.9838546922300706,0.016145307769929364,0.9981538461538462,PASS,OK
F6622 - P2D6,F5,F5,53003,F6622,P2D6,L-99-2,True,9910,9745,3276,6469,165,0.3361723961005644,0.9833501513622603,0.016649848637739658,0.9974345818368394,PASS,OK
F6623 - P2E6,F5,F5,53003,F6623,P2E6,L-99-2,True,9910,9740,3243,6497,170,0.33295687885010267,0.9828456104944501,0.017154389505549948,0.9981519507186858,PASS,OK
F6623 - P2F6,F5,F5,53003,F6623,P2F6,L-99-2,True,9910,9743,3335,6408,167,0.3422970337678333,0.9831483350151362,0.016851664984863773,0.9989736220876527,PASS,OK
F6623 - P2G6,F5,F5,53003,F6623,P2G6,L-99-2,True,9910,9750,3214,6536,160,0.32964102564102565,0.9838546922300706,0.016145307769929364,0.9958974358974358,PASS,OK
F6624 - P2A7,F5,F5,53003,F6624,P2A7,L-99-2,True,9910,9752,3250,6502,158,0.3332649712879409,0.9840565085771947,0.015943491422805246,0.9991796554552912,PASS,OK
