CELL,GID,NAME,Lote de Producción,het_rate,dist_F5,dist_hembra,closer_to_hembra,ek_class
F6633 - P3H2,53006,F5,L-VV3,0.29181677817807516,0.195283958876261,0.327205180322504,False,Pure hybrid
F6634 - P3B4,53006,F5,L-VV3,0.2706209453197405,0.207447211506756,0.380516803442076,False,Outcross
F6634 - P3C4,53006,F5,L-VV3,0.3371340523882897,0.152026169267993,0.352902001720318,False,Pure hybrid
F6634 - P3D4,53006,F5,L-VV3,0.23943661971830985,0.2434062224379,0.245653225347087,False,Outcross
F6634 - P3E4,53006,F5,L-VV3,0.33062358509981477,0.153901340630034,0.353945965609989,False,Pure hybrid
F6634 - P3F4,53006,F5,L-VV3,0.3370994248151192,0.156124234707522,0.34582769439836,False,Pure hybrid
F6634 - P3G4,53006,F5,L-VV3,0.330901243448772,0.156978458943878,0.363329729535635,False,Pure hybrid
F6634 - P3H3,53006,F5,L-VV3,0.33261339092872566,0.158199154346915,0.349374861998347,False,Pure hybrid
F6634 - P3H4,53006,F5,L-VV3,0.33106505825342825,0.153543636188113,0.350348386060904,False,Pure hybrid
F6635 - P3A5,53006,F5,L-VV3,0.32878118903378173,0.158365202379544,0.369942835206202,False,Pure hybrid
F6635 - P3B5,53006,F5,L-VV3,0.3381250641749666,0.157877608541203,0.353577536981704,False,Pure hybrid
F6635 - P3C5,53006,F5,L-VV3,0.3346683097145204,0.153792013154907,0.354314366517654,False,Pure hybrid
F6635 - P3D5,53006,F5,L-VV3,0.3338815789473684,0.153245219509911,0.353367641563536,False,Pure hybrid
F6635 - P3E5,53006,F5,L-VV3,0.33206381883685027,0.157368423941436,0.349743309690885,False,Pure hybrid
F6635 - P3F5,53006,F5,L-VV3,0.32942989214175655,0.158935930600518,0.363017576357526,False,Pure hybrid
F6635 - P3G5,53006,F5,L-VV3,0.33233933161953727,0.153708773401994,0.356614365481791,False,Pure hybrid
F6635 - P3H5,53006,F5,L-VV3,0.3249922767995057,0.303391853987229,0.430139510140876,False,Outcross
F6636 - P3A6,53006,F5,L-VV3,0.33360723089564503,0.152030295516589,0.34904654327649,False,Pure hybrid
F6636 - P3B6,53006,F5,L-VV3,0.33449835526315785,0.153318790405914,0.358091012593189,False,Pure hybrid
F6636 - P3C6,53006,F5,L-VV3,0.3383350462487153,0.161876884340138,0.342952319253363,False,Pure hybrid
F6636 - P3D6,53006,F5,L-VV3,0.3293271700051361,0.159043940059289,0.368702443695755,False,Pure hybrid
F6636 - P3E6,53006,F5,L-VV3,0.3285684903331962,0.158971264038197,0.357720941354712,False,Pure hybrid
F6636 - P3F6,53006,F5,L-VV3,0.31671463815789475,0.171368785543803,0.329195923445494,False,Pure hybrid
F6647 - P4A6,38589,F5-DOBLE,R&D,0.3228685749461373,0.253562946146492,0.349991339851965,False,Pure hybrid
F6647 - P4B5,38589,F5-DOBLE,R&D,0.3242023186621525,0.237106142914878,0.341704303587754,False,Pure hybrid
F6647 - P4B6,38589,F5-DOBLE,R&D,0.33993230074879477,0.236959566418886,0.345383680460292,False,Pure hybrid
F6647 - P4C5,38589,F5-DOBLE,R&D,0.3341535937660207,0.366082618272334,0.421602647187698,False,Outcross
F6647 - P4D5,38589,F5-DOBLE,R&D,0.3244713611168138,0.241145388335962,0.34354517505205,False,Pure hybrid
F6647 - P4E5,38589,F5-DOBLE,R&D,0.34280439019386605,0.256191561608448,0.371780010036215,False,Pure hybrid
F6647 - P4F5,38589,F5-DOBLE,R&D,0.2654885441282236,0.356427259336226,0.251027146514154,True,Self parent
F6647 - P4G5,38589,F5-DOBLE,R&D,0.3417461783112753,0.210805116593458,0.339249337647836,False,Pure hybrid
F6647 - P4H4,38589,F5-DOBLE,R&D,0.3209813180045165,0.254848163918011,0.352555729130278,False,Pure hybrid
F6647 - P4H5,38589,F5-DOBLE,R&D,0.3300811338194516,0.276305109606356,0.336892769117063,False,Pure hybrid
F6648 - P4A7,38589,F5-DOBLE,R&D,0.33353833538335387,0.218280313031238,0.346664353429993,False,Pure hybrid
